Date/Time CET/CEST;Date/Time UTC;MBA;Consumption Total [MWh];Metered [MWh];Profiled [MWh];Flex-settled [MWh]
06.01.2024/03:00;06.01.2024/02:00;SE1, SE2, SE3, SE4;-20478,698609;-12540,450618;-7938,247991;0
06.01.2024/04:00;06.01.2024/03:00;SE1, SE2, SE3, SE4;-20484,829676;-12511,762453;-7973,067223;0
06.01.2024/05:00;06.01.2024/04:00;SE1, SE2, SE3, SE4;-20647,43742;-12609,619952;-8037,817468;0
06.01.2024/06:00;06.01.2024/05:00;SE1, SE2, SE3, SE4;-21088,742261;-12887,540614;-8201,201647;0
06.01.2024/07:00;06.01.2024/06:00;SE1, SE2, SE3, SE4;-21497,528965;-13107,447002;-8390,081963;0
06.01.2024/08:00;06.01.2024/07:00;SE1, SE2, SE3, SE4;-21922,753772;-13312,343141;-8610,410631;0
06.01.2024/09:00;06.01.2024/08:00;SE1, SE2, SE3, SE4;-22279,928611;-13455,628065;-8824,300546;0
06.01.2024/10:00;06.01.2024/09:00;SE1, SE2, SE3, SE4;-22564,548053;-13656,23114;-8908,316913;0
06.01.2024/11:00;06.01.2024/10:00;SE1, SE2, SE3, SE4;-22576,31816;-13705,630008;-8870,688152;0
06.01.2024/12:00;06.01.2024/11:00;SE1, SE2, SE3, SE4;-22371,666129;-13645,037324;-8726,628805;0
06.01.2024/13:00;06.01.2024/12:00;SE1, SE2, SE3, SE4;-22259,543474;-13641,54211;-8618,001364;0
06.01.2024/14:00;06.01.2024/13:00;SE1, SE2, SE3, SE4;-22278,689504;-13677,555052;-8601,134452;0
06.01.2024/15:00;06.01.2024/14:00;SE1, SE2, SE3, SE4;-22736,04549;-13926,842726;-8809,202764;0
06.01.2024/16:00;06.01.2024/15:00;SE1, SE2, SE3, SE4;-23348,622508;-14136,188807;-9212,433701;0
06.01.2024/17:00;06.01.2024/16:00;SE1, SE2, SE3, SE4;-23604,868353;-14193,781312;-9411,087041;0
06.01.2024/18:00;06.01.2024/17:00;SE1, SE2, SE3, SE4;-23320,172462;-13962,132249;-9358,040213;0
06.01.2024/19:00;06.01.2024/18:00;SE1, SE2, SE3, SE4;-22895,923368;-13770,313546;-9125,609822;0
06.01.2024/20:00;06.01.2024/19:00;SE1, SE2, SE3, SE4;-22460,990946;-13582,996504;-8877,994442;0
06.01.2024/21:00;06.01.2024/20:00;SE1, SE2, SE3, SE4;-21976,528059;-13299,719562;-8676,808497;0
06.01.2024/22:00;06.01.2024/21:00;SE1, SE2, SE3, SE4;-21411,466593;-12977,026317;-8434,440276;0
06.01.2024/23:00;06.01.2024/22:00;SE1, SE2, SE3, SE4;-20970,682824;-12780,466894;-8190,21593;0
07.01.2024/00:00;06.01.2024/23:00;SE1, SE2, SE3, SE4;-20713,661538;-12732,338687;-7981,322851;0
07.01.2024/01:00;07.01.2024/00:00;SE1, SE2, SE3, SE4;-20406,270461;-12551,861007;-7854,409454;0
07.01.2024/02:00;07.01.2024/01:00;SE1, SE2, SE3, SE4;-20353,031304;-12575,478068;-7777,553236;0
07.01.2024/03:00;07.01.2024/02:00;SE1, SE2, SE3, SE4;-20331,581672;-12594,080485;-7737,501187;0
07.01.2024/04:00;07.01.2024/03:00;SE1, SE2, SE3, SE4;-20311,079175;-12555,207879;-7755,871296;0
07.01.2024/05:00;07.01.2024/04:00;SE1, SE2, SE3, SE4;-20365,890559;-12566,932177;-7798,958382;0
07.01.2024/06:00;07.01.2024/05:00;SE1, SE2, SE3, SE4;-20658,249713;-12767,857463;-7890,39225;0
07.01.2024/07:00;07.01.2024/06:00;SE1, SE2, SE3, SE4;-20980,527612;-12914,82954;-8065,698072;0
07.01.2024/08:00;07.01.2024/07:00;SE1, SE2, SE3, SE4;-21422,732911;-13151,932702;-8270,800209;0
07.01.2024/09:00;07.01.2024/08:00;SE1, SE2, SE3, SE4;-21838,508601;-13350,584807;-8487,923794;0
07.01.2024/10:00;07.01.2024/09:00;SE1, SE2, SE3, SE4;-22268,247882;-13674,844808;-8593,403074;0
07.01.2024/11:00;07.01.2024/10:00;SE1, SE2, SE3, SE4;-22232,175311;-13666,580756;-8565,594555;0
07.01.2024/12:00;07.01.2024/11:00;SE1, SE2, SE3, SE4;-22080,923955;-13619,475305;-8461,44865;0
07.01.2024/13:00;07.01.2024/12:00;SE1, SE2, SE3, SE4;-22052,843711;-13681,235237;-8371,608474;0
07.01.2024/14:00;07.01.2024/13:00;SE1, SE2, SE3, SE4;-22055,556604;-13702,365142;-8353,191462;0
07.01.2024/15:00;07.01.2024/14:00;SE1, SE2, SE3, SE4;-22437,5077;-13904,923963;-8532,583737;0
07.01.2024/16:00;07.01.2024/15:00;SE1, SE2, SE3, SE4;-23018,765283;-14064,12452;-8954,640763;0
07.01.2024/17:00;07.01.2024/16:00;SE1, SE2, SE3, SE4;-23344,469104;-14132,94017;-9211,528934;0
07.01.2024/18:00;07.01.2024/17:00;SE1, SE2, SE3, SE4;-23262,482021;-14080,825004;-9181,657017;0
07.01.2024/19:00;07.01.2024/18:00;SE1, SE2, SE3, SE4;-22896,014756;-13889,137676;-9006,87708;0
07.01.2024/20:00;07.01.2024/19:00;SE1, SE2, SE3, SE4;-22505,82201;-13754,923429;-8750,898581;0
