Date/Time CET/CEST;Date/Time UTC;MBA;Production Total [MWh];Hydro [MWh];Nuclear [MWh];Solar [MWh];Thermal [MWh];Wind Onshore [MWh];Wind Offshore [MWh];Energy Storage [MWh];Other [MWh]
05.01.2024/12:00;05.01.2024/11:00;SE1, SE2, SE3, SE4;22500,187964;12594,998019;6312,85;57,157571;1229,651832;2290,31039;0;0;15,220152
05.01.2024/13:00;05.01.2024/12:00;SE1, SE2, SE3, SE4;22117,438544;12545,895832;6313,26;42,189131;1247,873637;1965,849269;0;0;2,370675
05.01.2024/14:00;05.01.2024/13:00;SE1, SE2, SE3, SE4;22014,123806;12598,90984;6312,14;14,765813;1280,711105;1805,379025;0;0;2,218023
05.01.2024/15:00;05.01.2024/14:00;SE1, SE2, SE3, SE4;22259,06635;12777,135168;6312,08;2,68559;1314,006755;1849,935076;0;0;3,223761
05.01.2024/16:00;05.01.2024/15:00;SE1, SE2, SE3, SE4;22373,022156;12757,005008;6310,64;2,4246;1355,222867;1945,660058;0;0;2,069623
05.01.2024/17:00;05.01.2024/16:00;SE1, SE2, SE3, SE4;22433,018734;12699,173239;6309,62;5,007124;1367,78261;2040,00324;0;0;11,432521
05.01.2024/18:00;05.01.2024/17:00;SE1, SE2, SE3, SE4;22226,933725;12599,534409;6314,36;1,861454;1338,524344;1968,483738;0;0;4,16978
05.01.2024/19:00;05.01.2024/18:00;SE1, SE2, SE3, SE4;21873,052903;12414,263775;6313,46;1,378081;1291,891997;1851,04895;0;0;1,0101
05.01.2024/20:00;05.01.2024/19:00;SE1, SE2, SE3, SE4;21456,345986;12250,172245;6311,95;1,276974;1212,316589;1679,164102;0;0;1,466076
05.01.2024/21:00;05.01.2024/20:00;SE1, SE2, SE3, SE4;20620,416811;11736,659499;6310,75;1,539126;1105,970164;1464,364233;0;0;1,133789
05.01.2024/22:00;05.01.2024/21:00;SE1, SE2, SE3, SE4;20055,086008;11307,810362;6314,34;1,175152;1046,579448;1384,24753;0;0;0,933516
05.01.2024/23:00;05.01.2024/22:00;SE1, SE2, SE3, SE4;19692,954028;10974,732742;6312,27;1,07438;1036,820824;1366,504841;0;0;1,551241
06.01.2024/00:00;05.01.2024/23:00;SE1, SE2, SE3, SE4;19462,37153;10533,960327;6312,86;0,985141;1030,658302;1582,405434;0;0;1,502326
06.01.2024/01:00;06.01.2024/00:00;SE1, SE2, SE3, SE4;19375,465759;10289,288138;6312,62;0,928971;1080,49345;1690,376625;0;0;1,758575
06.01.2024/02:00;06.01.2024/01:00;SE1, SE2, SE3, SE4;19115,680086;9920,561615;6311,15;0,942662;1091,665519;1789,478406;0;0;1,881884
06.01.2024/03:00;06.01.2024/02:00;SE1, SE2, SE3, SE4;18797,126483;9572,642702;6312,68;0,906789;1050,672155;1858,383601;0;0;1,841236
06.01.2024/04:00;06.01.2024/03:00;SE1, SE2, SE3, SE4;18735,578412;9456,044493;6312,62;0,910884;1023,82491;1940,332902;0;0;1,845223
06.01.2024/05:00;06.01.2024/04:00;SE1, SE2, SE3, SE4;18966,868149;9621,715266;6311,69;0,95144;1026,313566;2003,681106;0;0;2,516771
06.01.2024/06:00;06.01.2024/05:00;SE1, SE2, SE3, SE4;19247,595834;9926,153273;6311,76;1,089162;1011,710882;1993,869011;0;0;3,013506
06.01.2024/07:00;06.01.2024/06:00;SE1, SE2, SE3, SE4;19795,157872;10473,081633;6312,54;1,371928;1023,252149;1981,765502;0;0;3,14666
06.01.2024/08:00;06.01.2024/07:00;SE1, SE2, SE3, SE4;20544,331427;11249,193178;6312,32;1,614324;1046,772869;1932,084105;0;0;2,346951
06.01.2024/09:00;06.01.2024/08:00;SE1, SE2, SE3, SE4;21084,8579;11822,761074;6313,18;6,707566;1101,01567;1838,221914;0;0;2,971676
06.01.2024/10:00;06.01.2024/09:00;SE1, SE2, SE3, SE4;21021,269883;12186,113466;6311,73;27,600077;1119,730058;1373,751212;0;0;2,34507
06.01.2024/11:00;06.01.2024/10:00;SE1, SE2, SE3, SE4;20882,775397;12408,547511;6312,29;48,882498;1137,148644;973,19565;0;0;2,711094
06.01.2024/12:00;06.01.2024/11:00;SE1, SE2, SE3, SE4;20647,787373;12431,049719;6312,83;52,591023;1135,761321;712,448159;0;0;3,107151
06.01.2024/13:00;06.01.2024/12:00;SE1, SE2, SE3, SE4;20415,894792;12290,040274;6314,5;38,931767;1145,435055;626,28758;0;0;0,700116
06.01.2024/14:00;06.01.2024/13:00;SE1, SE2, SE3, SE4;20490,415132;12315,29262;6313,65;14,574014;1166,875348;678,057554;0;0;1,965596
06.01.2024/15:00;06.01.2024/14:00;SE1, SE2, SE3, SE4;20714,074073;12441,607059;6313,58;2,095209;1180,883918;771,769139;0;0;4,138748
