Date/Time SNT;MBA;Load Profile [MWh]
15.01.2024/06:00;SE1, SE2, SE3, SE4;-6272,92
15.01.2024/07:00;SE1, SE2, SE3, SE4;-6640,572
15.01.2024/08:00;SE1, SE2, SE3, SE4;-6704,674
15.01.2024/09:00;SE1, SE2, SE3, SE4;-6763,257
15.01.2024/10:00;SE1, SE2, SE3, SE4;-6833,14
15.01.2024/11:00;SE1, SE2, SE3, SE4;-6867,298
15.01.2024/12:00;SE1, SE2, SE3, SE4;-6907,491
15.01.2024/13:00;SE1, SE2, SE3, SE4;-6855,892
15.01.2024/14:00;SE1, SE2, SE3, SE4;-6925,695
15.01.2024/15:00;SE1, SE2, SE3, SE4;-7223,696
15.01.2024/16:00;SE1, SE2, SE3, SE4;-7796,582
15.01.2024/17:00;SE1, SE2, SE3, SE4;-8261,521
15.01.2024/18:00;SE1, SE2, SE3, SE4;-8325,048
15.01.2024/19:00;SE1, SE2, SE3, SE4;-8240,951
15.01.2024/20:00;SE1, SE2, SE3, SE4;-8059,848
15.01.2024/21:00;SE1, SE2, SE3, SE4;-7851,884
15.01.2024/22:00;SE1, SE2, SE3, SE4;-7644,212
15.01.2024/23:00;SE1, SE2, SE3, SE4;-7417,112
16.01.2024/00:00;SE1, SE2, SE3, SE4;-7331,924
16.01.2024/01:00;SE1, SE2, SE3, SE4;-7334,199
16.01.2024/02:00;SE1, SE2, SE3, SE4;-7429,221
16.01.2024/03:00;SE1, SE2, SE3, SE4;-7544,198
16.01.2024/04:00;SE1, SE2, SE3, SE4;-7731,072
16.01.2024/05:00;SE1, SE2, SE3, SE4;-8009,752
16.01.2024/06:00;SE1, SE2, SE3, SE4;-8416,639
16.01.2024/07:00;SE1, SE2, SE3, SE4;-8761,032
16.01.2024/08:00;SE1, SE2, SE3, SE4;-8799,194
16.01.2024/09:00;SE1, SE2, SE3, SE4;-8794,183
16.01.2024/10:00;SE1, SE2, SE3, SE4;-8646,995
16.01.2024/11:00;SE1, SE2, SE3, SE4;-8403,889
16.01.2024/12:00;SE1, SE2, SE3, SE4;-8162,524
16.01.2024/13:00;SE1, SE2, SE3, SE4;-7939,486
16.01.2024/14:00;SE1, SE2, SE3, SE4;-7904,25
16.01.2024/15:00;SE1, SE2, SE3, SE4;-8182,037
16.01.2024/16:00;SE1, SE2, SE3, SE4;-8773,329
16.01.2024/17:00;SE1, SE2, SE3, SE4;-9199,904
16.01.2024/18:00;SE1, SE2, SE3, SE4;-9190,185
16.01.2024/19:00;SE1, SE2, SE3, SE4;-8980,463
16.01.2024/20:00;SE1, SE2, SE3, SE4;-8688,813
16.01.2024/21:00;SE1, SE2, SE3, SE4;-8310,805
16.01.2024/22:00;SE1, SE2, SE3, SE4;-7867,593
16.01.2024/23:00;SE1, SE2, SE3, SE4;-7431,42
17.01.2024/00:00;SE1, SE2, SE3, SE4;-7134,583
17.01.2024/01:00;SE1, SE2, SE3, SE4;-6911,942
17.01.2024/02:00;SE1, SE2, SE3, SE4;-6780,381
17.01.2024/03:00;SE1, SE2, SE3, SE4;-6657,912
17.01.2024/04:00;SE1, SE2, SE3, SE4;-6590,196
17.01.2024/05:00;SE1, SE2, SE3, SE4;-6644,689
17.01.2024/06:00;SE1, SE2, SE3, SE4;-6921,573
17.01.2024/07:00;SE1, SE2, SE3, SE4;-7151,693
17.01.2024/08:00;SE1, SE2, SE3, SE4;-7088,219
17.01.2024/09:00;SE1, SE2, SE3, SE4;-6995,891
17.01.2024/10:00;SE1, SE2, SE3, SE4;-6991,246
17.01.2024/11:00;SE1, SE2, SE3, SE4;-6971,939
17.01.2024/12:00;SE1, SE2, SE3, SE4;-6911,955
17.01.2024/13:00;SE1, SE2, SE3, SE4;-6808,194
17.01.2024/14:00;SE1, SE2, SE3, SE4;-6799,37
17.01.2024/15:00;SE1, SE2, SE3, SE4;-6961,232
